Gemeinde_Code,Gemeindename,Population,Age_0_20,Age_20_40,Age_40_65,Age_65_plus,Area_km2,Population_Density,Outgoing_Commuters,Incoming_Commuters,Has_Railway_Station,PT_Class,PT_Gap_20min,Settlement_Type,PT_Inadequacy_Score,Commuter_Flow_Total
1,Aeugst am Albis,1998,371,367,846,415,7.9,252.9,1067.0,355.0,0.0,3.0,-3.0,3.0,3.0,1422.0
2,Affoltern am Albis,12859,2652,3484,4244,2479,10.61,1212.0,6403.0,5757.0,1.0,5.0,3.0,1.0,3.0,12160.0
3,Bonstetten,5678,1324,1236,2114,1004,7.41,766.3,2973.0,746.0,1.0,5.0,0.0,2.0,3.0,3719.0
4,Hausen am Albis,3974,871,743,1575,785,13.62,291.8,1964.0,759.0,0.0,2.0,-1.0,2.0,5.0,2723.0
5,Hedingen,3963,830,907,1513,713,6.56,604.1,2035.0,924.0,1.0,4.0,1.0,1.0,3.0,2959.0
6,Kappel am Albis,1323,347,255,538,183,7.92,167.0,642.0,192.0,0.0,5.0,2.0,3.0,2.0,834.0
7,Knonau,2454,625,522,921,386,6.5,377.5,1261.0,319.0,1.0,5.0,8.0,2.0,2.0,1580.0
8,Maschwanden,644,144,115,272,118,4.68,137.6,344.0,91.0,0.0,4.0,17.0,3.0,1.0,435.0
9,Mettmenstetten,5707,1362,1288,2008,1049,13.03,438.0,2701.0,1290.0,1.0,4.0,-5.0,2.0,3.0,3991.0
10,Obfelden,5881,1357,1458,2027,1039,7.53,781.0,2965.0,916.0,0.0,3.0,18.0,2.0,4.0,3881.0
11,Ottenbach,2973,619,654,1054,646,5.0,594.6,1336.0,458.0,0.0,3.0,15.0,2.0,3.0,1794.0
12,Rifferswil,1145,304,161,467,213,6.52,175.6,593.0,141.0,0.0,3.0,6.0,3.0,3.0,734.0
13,Stallikon,3879,881,771,1534,693,12.01,323.0,2005.0,549.0,0.0,5.0,2.0,2.0,3.0,2554.0
14,Wettswil am Albis,5323,1258,975,1998,1092,3.78,1408.2,2606.0,866.0,0.0,5.0,10.0,2.0,3.0,3472.0
22,Benken (ZH),853,180,188,326,163,5.66,150.7,510.0,152.0,0.0,3.0,11.0,3.0,2.0,662.0
23,Berg am Irchel,600,97,112,235,157,7.02,85.5,294.0,71.0,0.0,2.0,11.0,2.0,3.0,365.0
24,Buch am Irchel,1032,246,226,385,176,10.24,100.8,536.0,145.0,0.0,2.0,7.0,3.0,3.0,681.0
25,Dachsen,1971,385,391,767,428,2.7,730.0,978.0,298.0,1.0,3.0,2.0,2.0,3.0,1276.0
26,Dorf,721,147,173,279,124,5.53,130.4,363.0,60.0,0.0,3.0,12.0,3.0,2.0,423.0
27,Feuerthalen,3811,781,912,1396,722,2.49,1530.5,1940.0,954.0,1.0,5.0,3.0,1.0,3.0,2894.0
28,Flaach,1488,312,371,531,276,10.16,146.5,767.0,472.0,0.0,2.0,7.0,2.0,4.0,1239.0
29,Flurlingen,1514,301,325,593,295,2.41,628.2,747.0,261.0,0.0,5.0,8.0,1.0,2.0,1008.0
31,Henggart,2325,477,485,855,508,3.02,769.9,1105.0,388.0,1.0,5.0,8.0,2.0,2.0,1493.0
33,Kleinandelfingen,2203,475,456,830,442,10.35,212.9,1132.0,764.0,0.0,3.0,18.0,2.0,3.0,1896.0
34,Laufen-Uhwiesen,1813,317,338,747,411,6.27,289.2,874.0,297.0,1.0,4.0,10.0,2.0,2.0,1171.0
35,Marthalen,1953,408,429,692,426,14.12,138.3,1058.0,910.0,1.0,2.0,7.0,2.0,4.0,1968.0
37,Ossingen,1703,347,402,614,340,13.07,130.3,889.0,284.0,1.0,2.0,15.0,3.0,4.0,1173.0
38,Rheinau,1290,234,254,500,302,8.93,144.5,700.0,529.0,0.0,3.0,14.0,3.0,3.0,1229.0
39,Thalheim an der Thur,1026,247,197,415,167,6.47,158.6,476.0,127.0,1.0,2.0,11.0,3.0,3.0,603.0
40,Trüllikon,1095,203,230,393,269,9.53,114.9,528.0,178.0,0.0,3.0,8.0,3.0,2.0,706.0
41,Truttikon,470,89,92,190,101,4.41,106.6,238.0,81.0,0.0,2.0,18.0,3.0,3.0,319.0
